Imputation,Mechanism,Model,Metric,Fold,Value,SE,CI_Lower,CI_Upper
MICE (pooled),mar,RSF,C-index (CV),10,0.5609756097560976,0.11782785212532047,0.3300330195904695,0.7919181999217257
MICE (pooled),mar,RSF,C-index (Test),Test,0.7836601307189541,0.15879124984648813,0.4724292810198374,1.0948909804180709
MICE (pooled),mar,RSF,IBS (Test),Test,0.07403229875376535,0.031839985667552556,0.011625926845362344,0.13643867066216836
MICE (pooled),mar,XGBoost,C-index (CV),1,0.6439999999999999,0.1886336838071787,0.27427797973792967,1.0137220202620703
MICE (pooled),mar,XGBoost,C-index (CV),2,0.552755905511811,0.1488959513889101,0.26091984078954716,0.8445919702340747
MICE (pooled),mar,XGBoost,C-index (CV),3,0.37037037037037035,0.15076963050124345,0.07486189458793319,0.6658788461528076
MICE (pooled),mar,XGBoost,C-index (CV),4,0.5712643678160919,0.22223774552730471,0.1356783865825747,1.0068503490496092
MICE (pooled),mar,XGBoost,C-index (CV),5,0.4566308243727599,0.13432829141887973,0.19334737319175566,0.7199142755537642
MICE (pooled),mar,XGBoost,C-index (CV),6,0.6553398058252428,0.14805109007027378,0.36515966928750615,0.9455199423629794
MICE (pooled),mar,XGBoost,C-index (CV),7,0.4580645161290322,0.1537025689721445,0.156807480943629,0.7593215513144354
MICE (pooled),mar,XGBoost,C-index (CV),8,0.5791208791208791,0.2048942281493002,0.1775281919482507,0.9807135662935074
MICE (pooled),mar,XGBoost,C-index (CV),9,0.6373333333333333,0.19429187665297107,0.25652125509351004,1.0181454115731565
MICE (pooled),mar,XGBoost,C-index (CV),10,0.751219512195122,0.14260681730777525,0.47171015027188246,1.0307288741183616
MICE (pooled),mar,XGBoost,C-index (Test),Test,0.6516339869281046,0.21994022465694021,0.2205511466005018,1.0827168272557075
MICE (pooled),mar,GradientBoosting,C-index (CV),1,0.6420000000000001,0.15239969378796886,0.34329660017558117,0.9407033998244191
MICE (pooled),mar,GradientBoosting,C-index (CV),2,0.5724409448818897,0.2280499704309957,0.12546300283713813,1.0194188869266412
MICE (pooled),mar,GradientBoosting,C-index (CV),3,0.5032407407407408,0.1804041387889454,0.14964862871440776,0.8568328527670738
MICE (pooled),mar,GradientBoosting,C-index (CV),4,0.4477011494252873,0.21039663955818338,0.035323735891247876,0.8600785629593268
MICE (pooled),mar,GradientBoosting,C-index (CV),5,0.5397849462365591,0.11273070963813625,0.3188327553458121,0.7607371371273062
MICE (pooled),mar,GradientBoosting,C-index (CV),6,0.5703883495145631,0.151298305682154,0.27384367037754126,0.8669330286515848
MICE (pooled),mar,GradientBoosting,C-index (CV),7,0.4641129032258064,0.15429645051328614,0.16169186021976556,0.7665339462318472
MICE (pooled),mar,GradientBoosting,C-index (CV),8,0.6032967032967033,0.22591907313319448,0.1604953199556421,1.0460980866377645
MICE (pooled),mar,GradientBoosting,C-index (CV),9,0.5966666666666667,0.23484746822849364,0.13636562893881915,1.0569677043945143
MICE (pooled),mar,GradientBoosting,C-index (CV),10,0.4697560975609756,0.10538053194959576,0.2632102549397679,0.6763019401821833
MICE (pooled),mar,GradientBoosting,C-index (Test),Test,0.6003267973856209,0.2847894374951956,0.04213949989503751,1.1585140948762043
MICE (pooled),mar,GradientBoosting,IBS (Test),Test,0.07853531577029806,0.03235121325774397,0.015126937785119879,0.14194369375547622
MICE (pooled),mar,DeepSurv,C-index (CV),1,0.5833333333333334,0.16419500601419035,0.2615111215455203,0.9051555451211464
MICE (pooled),mar,DeepSurv,C-index (CV),2,0.4244094488188977,0.14772963023065921,0.13485937356680566,0.7139595240709897
MICE (pooled),mar,DeepSurv,C-index (CV),3,0.4722222222222222,0.12853039223621415,0.2203026534392425,0.7241417910052019
MICE (pooled),mar,DeepSurv,C-index (CV),4,0.5390804597701149,0.21395989044811825,0.11971907449180313,0.9584418450484267
MICE (pooled),mar,DeepSurv,C-index (CV),5,0.5275985663082438,0.15812302333174993,0.21767744057801391,0.8375196920384735
MICE (pooled),mar,DeepSurv,C-index (CV),6,0.6902912621359223,0.1349828838170065,0.4257248098545896,0.954857714417255
MICE (pooled),mar,DeepSurv,C-index (CV),7,0.5588709677419355,0.20815983063129526,0.15087769970459675,0.9668642357792742
MICE (pooled),mar,DeepSurv,C-index (CV),8,0.5087912087912088,0.14499665828611638,0.22459775855042063,0.7929846590319969
MICE (pooled),mar,DeepSurv,C-index (CV),9,0.4800000000000001,0.14440683270999796,0.19696260788840408,0.763037392111596
MICE (pooled),mar,DeepSurv,C-index (CV),10,0.5580487804878048,0.150431463540981,0.2632031119474821,0.8528944490281276
MICE (pooled),mar,DeepSurv,C-index (Test),Test,0.5418300653594772,0.17497551136764047,0.19887806307890188,0.8847820676400525
MIDA,mar,RSF,C-index (CV),1,0.85,,,
MIDA,mar,RSF,C-index (CV),2,0.7204724409448819,,,
MIDA,mar,RSF,C-index (CV),3,0.6527777777777778,,,
MIDA,mar,RSF,C-index (CV),4,0.6436781609195402,,,
MIDA,mar,RSF,C-index (CV),5,0.5878136200716846,,,
MIDA,mar,RSF,C-index (CV),6,0.7475728155339806,,,
MIDA,mar,RSF,C-index (CV),7,0.5,,,
MIDA,mar,RSF,C-index (CV),8,0.6758241758241759,,,
MIDA,mar,RSF,C-index (CV),9,0.6866666666666666,,,
MIDA,mar,RSF,C-index (CV),10,0.7951219512195122,,,
MIDA,mar,RSF,C-index (Test),Test,0.6535947712418301,,,
MIDA,mar,RSF,IBS (Test),Test,0.07132343861416425,,,
MIDA,mar,XGBoost,C-index (CV),1,0.7966666666666666,,,
MIDA,mar,XGBoost,C-index (CV),2,0.7952755905511811,,,
MIDA,mar,XGBoost,C-index (CV),3,0.7685185185185185,,,
MIDA,mar,XGBoost,C-index (CV),4,0.6494252873563219,,,
MIDA,mar,XGBoost,C-index (CV),5,0.6308243727598566,,,
MIDA,mar,XGBoost,C-index (CV),6,0.8106796116504854,,,
MIDA,mar,XGBoost,C-index (CV),7,0.592741935483871,,,
MIDA,mar,XGBoost,C-index (CV),8,0.6813186813186813,,,
MIDA,mar,XGBoost,C-index (CV),9,0.8,,,
MIDA,mar,XGBoost,C-index (CV),10,0.8682926829268293,,,
MIDA,mar,XGBoost,C-index (Test),Test,0.5980392156862745,,,
MIDA,mar,GradientBoosting,C-index (CV),1,0.8316666666666667,,,
MIDA,mar,GradientBoosting,C-index (CV),2,0.6338582677165354,,,
MIDA,mar,GradientBoosting,C-index (CV),3,0.7199074074074074,,,
MIDA,mar,GradientBoosting,C-index (CV),4,0.5689655172413793,,,
